scenario,scenario_name,run_id,seed,submitted_tx,routed_tx,finality_certificates,receipts,reward_events,total_reward,quarantine_events,reconfiguration_events,evidence_events,active_validators,quarantined_validators,finality_success_rate,receipt_success_rate,throughput,mean_finality_latency,mean_receipt_latency,cross_shard_ratio,shard1_load,shard2_load,shard_load_std,reward_gini,reward_hhi,owner_concentration,nakamoto_coefficient,malicious_committee_probability
Q6,Risky/offline validator case,91,2275,221,221,218,213,639,3195,3,2,660,11,3,98.6425,96.3801,2.13,18.1395,23.5548,18.552,113.3126,112.5766,0.368,27.4335,22.0238,30.9859,2,0.0
Q6,Risky/offline validator case,92,2276,328,328,326,322,966,4830,2,2,982,12,2,99.3902,98.1707,2.9451,18.1127,23.6065,17.9878,129.9759,129.8974,0.0392,27.1014,22.0076,30.559,2,0.0
Q6,Risky/offline validator case,93,2277,233,233,231,225,675,3375,3,2,697,11,3,99.1416,96.5665,2.25,18.1201,23.6544,17.1674,99.5724,99.6358,0.0317,30.2963,22.5323,34.6667,1,0.0
Q6,Risky/offline validator case,94,2278,322,322,318,316,948,4740,5,2,962,9,5,98.7578,98.1366,2.9441,18.1015,23.5158,17.7019,132.2796,132.3226,0.0215,32.5063,28.0641,41.2658,1,0.0
Q6,Risky/offline validator case,95,2279,322,322,318,314,942,4710,1,2,962,13,1,98.7578,97.5155,2.9255,18.2484,23.7128,20.8075,133.6186,134.2662,0.3238,28.896,22.2008,32.8662,2,0.0
Q6,Risky/offline validator case,96,2280,283,283,280,272,816,4080,3,2,846,11,3,98.9399,96.1131,2.72,18.1467,23.6454,19.788,107.2412,107.957,0.3579,26.5882,24.5234,34.8529,1,0.0
Q6,Risky/offline validator case,97,2281,324,324,317,306,918,4590,6,2,965,8,6,97.8395,94.4444,2.8333,18.0561,23.4948,19.1358,129.1209,129.1182,0.0014,29.4118,22.3045,33.5294,1,0.0
Q6,Risky/offline validator case,98,2282,253,253,251,242,726,3630,5,2,757,9,5,99.2095,95.6522,2.42,17.8535,23.2992,15.415,108.5223,108.535,0.0064,29.3664,22.2945,33.4711,1,0.0
Q6,Risky/offline validator case,99,2283,310,310,304,299,897,4485,4,2,924,10,4,98.0645,96.4516,2.8935,18.2254,23.7144,20.9677,122.9062,123.1387,0.1163,25.0,30.0127,39.398,1,0.0
Q6,Risky/offline validator case,100,2284,330,330,323,317,951,4755,3,2,983,11,3,97.8788,96.0606,2.8818,18.3551,23.8215,22.1212,125.7689,125.428,0.1705,27.6236,22.037,31.2303,2,0.0
Q7,Hot-shard Qtum workload,1,9194,403,403,389,361,1083,5415,0,2,1195,16,0,96.5261,89.5782,2.6873,18.2763,23.7263,23.8213,168.3331,168.2407,0.0462,32.8643,28.1867,37.8393,1,0.0
Q7,Hot-shard Qtum workload,2,9195,348,348,343,331,993,4965,0,2,1039,16,0,98.5632,95.1149,2.8534,18.2807,23.7788,23.2759,150.7502,150.2836,0.2333,40.6284,40.0062,60.0,1,0.0
Q7,Hot-shard Qtum workload,3,9196,377,377,369,343,1029,5145,0,2,1123,16,0,97.878,90.9814,2.7294,18.4221,23.8628,24.9337,148.8527,149.62,0.3837,32.1633,28.0067,40.4082,1,0.0
Q7,Hot-shard Qtum workload,4,9197,430,430,419,391,1173,5865,0,2,1279,16,0,97.4419,90.9302,2.7279,18.2425,23.7659,22.093,164.4969,164.932,0.2175,28.5166,22.1383,32.3785,2,0.0
Q7,Hot-shard Qtum workload,5,9198,422,422,417,395,1185,5925,0,2,1261,16,0,98.8152,93.6019,2.8081,18.3504,23.8421,22.0379,175.4007,174.827,0.2868,32.5063,28.0641,41.2658,1,0.0
Q7,Hot-shard Qtum workload,6,9199,409,409,402,377,1131,5655,0,2,1220,16,0,98.2885,92.176,2.7653,18.4455,23.8318,23.4719,175.3026,175.0703,0.1162,30.3183,22.5388,34.695,1,0.0
Q7,Hot-shard Qtum workload,7,9200,433,433,425,396,1188,5940,0,2,1291,16,0,98.1524,91.455,2.7436,18.1657,23.7235,20.7852,176.0774,176.396,0.1593,15.8923,36.2947,43.8384,1,0.0
Q7,Hot-shard Qtum workload,8,9201,351,351,346,326,978,4890,0,2,1048,16,0,98.5755,92.8775,2.7863,18.1518,23.7246,19.0883,147.5388,147.9905,0.2258,32.589,28.0867,38.5276,1,0.0
Q7,Hot-shard Qtum workload,9,9202,370,370,365,342,1026,5130,0,2,1105,16,0,98.6486,92.4324,2.773,18.3925,23.8581,21.0811,150.8053,150.3492,0.228,44.3041,40.2895,60.0,1,0.0
Q7,Hot-shard Qtum workload,10,9203,379,379,371,353,1059,5295,0,2,1129,16,0,97.8892,93.1398,2.7942,18.184,23.5867,23.219,169.163,169.575,0.206,30.0378,22.4592,34.3343,1,0.0
Q7,Hot-shard Qtum workload,11,9204,426,426,420,399,1197,5985,0,2,1272,16,0,98.5915,93.662,2.8099,18.4049,23.8888,23.2394,167.8567,168.2943,0.2188,26.9591,22.0035,30.3759,2,0.0
Q7,Hot-shard Qtum workload,12,9205,371,371,360,335,1005,5025,0,2,1102,16,0,97.035,90.2965,2.7089,18.4131,23.7198,24.2588,150.9913,151.186,0.0974,26.7363,22.0002,30.0896,2,0.0
Q7,Hot-shard Qtum workload,13,9206,449,449,436,408,1224,6120,0,2,1334,16,0,97.1047,90.8686,2.7261,18.2635,23.7215,22.7171,181.7556,182.0343,0.1393,30.4412,22.5757,34.8529,1,0.0
Q7,Hot-shard Qtum workload,14,9207,331,331,324,303,909,4545,0,2,986,16,0,97.8852,91.5408,2.7462,18.2057,23.7163,23.8671,140.5928,140.7356,0.0714,33.5204,23.8981,38.8119,1,0.0
Q7,Hot-shard Qtum workload,15,9208,436,436,431,401,1203,6015,0,2,1303,16,0,98.8532,91.9725,2.7592,18.2498,23.8745,21.5596,167.5633,167.6247,0.0307,31.2635,22.8539,35.9102,1,0.0
Q7,Hot-shard Qtum workload,16,9209,390,390,380,354,1062,5310,0,2,1160,16,0,97.4359,90.7692,2.7231,18.5302,24.0417,26.9231,151.2754,151.5507,0.1376,31.6761,23.014,36.4407,1,0.0
Q7,Hot-shard Qtum workload,17,9210,430,430,422,401,1203,6015,0,2,1282,16,0,98.1395,93.2558,2.7977,18.3162,23.8392,21.8605,166.1798,166.356,0.0881,31.729,23.0356,36.5087,1,0.0
Q7,Hot-shard Qtum workload,18,9211,319,319,309,294,882,4410,0,2,947,16,0,96.8652,92.163,2.7649,18.3022,23.8284,22.5705,130.6683,130.8351,0.0834,25.5238,24.1814,32.8571,2,0.0
Q7,Hot-shard Qtum workload,19,9212,311,311,309,284,852,4260,0,2,931,16,0,99.3569,91.3183,2.7395,18.6808,24.1784,26.3666,136.3281,136.1304,0.0989,27.3239,22.0175,30.8451,2,0.0
