factor_id,factor,level_id,level_value,metric,n,mean,sd,median,q1,q3,iqr,min,max,ci_low,ci_high,ci_half
WORKLOAD,Transactions/run,HIGH,40,prepared_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
WORKLOAD,Transactions/run,HIGH,40,finality_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
WORKLOAD,Transactions/run,HIGH,40,receipt_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
WORKLOAD,Transactions/run,HIGH,40,terminal_failure_pct,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD,Transactions/run,HIGH,40,cross_shard_ratio_pct,100,15.375,4.785486792206602,15.0,12.5,17.5,5.0,7.5,32.5,14.425455598531075,16.324544401468923,0.9495444014689248
WORKLOAD,Transactions/run,HIGH,40,logical_throughput,100,0.6806162457579539,0.06749598537985628,0.6400409626216077,0.6349206349206349,0.7843137254901961,0.14939309056956118,0.625,0.8,0.6672235779224799,0.6940089135934279,0.013392667835473982
WORKLOAD,Transactions/run,HIGH,40,mean_finality_latency,100,20.706999999999997,0.61480143793001,20.65,20.325,21.025,0.6999999999999993,19.625,22.9,20.585010056499954,20.82898994350004,0.12198994350004304
WORKLOAD,Transactions/run,HIGH,40,mean_receipt_latency,100,35.2295,0.901572559924092,35.15,34.675,35.675,1.0,33.675,38.45,35.05060844435135,35.408391555648656,0.17889155564865444
WORKLOAD,Transactions/run,HIGH,40,finality_receipt_gap_pp,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD,Transactions/run,HIGH,40,eligible_validators,100,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0
WORKLOAD,Transactions/run,HIGH,40,active_committees,100,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
WORKLOAD,Transactions/run,HIGH,40,committee_recoveries,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD,Transactions/run,HIGH,40,reconfiguration_events,100,5.51,0.9795381306998464,5.0,5.0,6.0,1.0,4.0,9.0,5.315638383634009,5.704361616365991,0.1943616163659907
WORKLOAD,Transactions/run,HIGH,40,shard_load_std,100,7.87,2.627188842112651,8.0,7.0,9.0,2.0,1.0,17.0,7.348708736446139,8.391291263553862,0.5212912635538614
WORKLOAD,Transactions/run,HIGH,40,reward_gini,100,50.227299999999985,5.957836678601461,50.03,46.7675,54.29,7.522500000000001,35.96,64.0,49.045135946753554,51.40946405324642,1.1821640532464337
WORKLOAD,Transactions/run,HIGH,40,reward_hhi,100,19.3126,2.8355451687533395,18.365000000000002,17.28,21.4625,4.182499999999997,14.63,25.76,18.749966320917064,19.875233679082935,0.5626336790829345
WORKLOAD,Transactions/run,HIGH,40,nakamoto_coefficient,100,2.57,0.49756985195624304,3.0,2.0,3.0,1.0,2.0,3.0,2.4712713465150076,2.668728653484992,0.09872865348499216
WORKLOAD,Transactions/run,HIGH,40,owner_concentration_pct,100,29.049100000000006,6.532324921403396,26.535,23.6025,34.61,11.0075,20.76,43.26,27.752945015768102,30.34525498423191,1.2961549842319031
WORKLOAD,Transactions/run,HIGH,40,quarantine_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD,Transactions/run,HIGH,40,slashing_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD,Transactions/run,HIGH,40,reward_events,100,200.0,0.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,200.0,0.0
WORKLOAD,Transactions/run,HIGH,40,evidence_count,100,658.51,0.9795381306998465,658.0,658.0,659.0,1.0,657.0,662.0,658.315638383634,658.704361616366,0.19436161636599072
WORKLOAD,Transactions/run,HIGH,40,model_time,100,59.3,5.396407334626633,62.5,51.0,63.0,12.0,50.0,64.0,58.22923570889685,60.37076429110314,1.0707642911031443
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,submitted_tx,100,28.0,0.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,28.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,prepared_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,finality_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,receipt_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,terminal_failure_pct,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,cross_shard_ratio_pct,100,28.857142857142858,4.780267624855776,28.571428571428573,25.0,32.142857142857146,7.142857142857146,17.857142857142858,42.857142857142854,27.908634051707,29.805651662578715,0.9485088054358572
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,logical_throughput,100,0.4811860599078341,0.05199986225995517,0.4444444444444444,0.4444444444444444,0.5490196078431373,0.10457516339869288,0.4375,0.5714285714285714,0.4708681590901979,0.49150396072547026,0.010317900817636184
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,mean_finality_latency,100,21.989642857142858,0.618533232010388,21.94642857142857,21.5,22.428571428571427,0.928571428571427,20.571428571428573,23.857142857142858,21.866912444735405,22.11237326955031,0.12273041240745464
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,mean_receipt_latency,100,37.36392857142857,0.9047860414871147,37.30357142857143,36.642857142857146,38.0,1.357142857142854,35.285714285714285,40.07142857142857,37.184399391320824,37.54345775153632,0.17952918010775046
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,finality_receipt_gap_pp,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,eligible_validators,100,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,active_committees,100,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,committee_recoveries,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,reconfiguration_events,100,0.46,0.5581354239923779,0.0,0.0,1.0,1.0,0.0,2.0,0.3492538230433452,0.5707461769566549,0.11074617695665487
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,shard_load_std,100,4.97,3.1284132874301784,3.0,2.0,8.0,6.0,2.0,11.0,4.349254932351284,5.590745067648715,0.6207450676487152
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,reward_gini,100,50.1011,5.894402565660121,49.695,46.2425,54.68,8.4375,35.82,64.17,48.93152265097427,51.27067734902573,1.1695773490257282
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,reward_hhi,100,19.2036,2.7255630573879555,18.369999999999997,17.310000000000002,21.7125,4.402499999999996,14.58,25.79,18.662789157891314,19.74441084210869,0.5408108421086885
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,nakamoto_coefficient,100,2.59,0.49431107042371025,3.0,2.0,3.0,1.0,2.0,3.0,2.4919179594708445,2.6880820405291552,0.09808204052915533
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,owner_concentration_pct,100,28.7865,6.166620536272995,26.09,23.62,34.61,10.989999999999998,19.78,40.93,27.56290869979262,30.01009130020738,1.2235913002073802
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,quarantine_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,slashing_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,reward_events,100,140.0,0.0,140.0,140.0,140.0,0.0,140.0,140.0,140.0,140.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,evidence_count,100,461.46,0.5581354239923779,461.0,461.0,462.0,1.0,461.0,463.0,461.34925382304334,461.5707461769566,0.11074617695665487
CROSS_SHARD_PCT,Cross-shard demand,LOW,20%,model_time,100,58.82,5.893636355845981,63.0,51.0,63.0,12.0,49.0,64.0,57.65057468362444,59.98942531637556,1.1694253163755595
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,submitted_tx,100,28.0,0.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,28.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,prepared_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,finality_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,receipt_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,terminal_failure_pct,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,cross_shard_ratio_pct,100,63.50000000000001,2.464967908584717,64.28571428571429,60.714285714285715,64.28571428571429,3.5714285714285765,60.714285714285715,71.42857142857143,63.01089688906698,63.98910311093304,0.4891031109330314
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,logical_throughput,100,0.48962826797385617,0.05405409827139973,0.4444444444444444,0.4375,0.5490196078431373,0.1115196078431373,0.4375,0.5490196078431373,0.4789027621645732,0.500353773783139,0.01072550580928294
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,mean_finality_latency,100,26.531785714285714,0.30133588194860306,26.607142857142858,26.214285714285715,26.642857142857142,0.42857142857142705,26.142857142857142,27.5,26.471994137777347,26.59157729079408,0.059791576508366175
CROSS_SHARD_PCT,Cross-shard demand,DEFAULT,60%,mean_receipt_latency,100,43.984642857142845,0.448383310661465,44.107142857142854,43.5,44.142857142857146,0.6428571428571459,43.42857142857143,45.42857142857143,43.89567388056055,44.07361183372514,0.08896897658229176
