scenario_id,scenario,name,metric,n,mean,sd,median,q1,q3,iqr,min,max,ci_low,ci_high,ci_half
2,Q2,High load,reconfiguration_events,100,5.48,0.8701561452818208,5.0,5.0,6.0,1.0,4.0,9.0,5.307342142600472,5.652657857399529,0.17265785739952824
2,Q2,High load,shard_load_std,100,8.11,2.7336104811450848,8.0,7.0,9.0,2.0,1.0,16.0,7.567592374427761,8.652407625572238,0.542407625572238
2,Q2,High load,eligible_validators,100,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0
2,Q2,High load,committee_recoveries,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Q2,High load,quarantine_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Q2,High load,slashing_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Q2,High load,reward_gini,100,50.33469999999999,5.816510887034417,49.769999999999996,46.464999999999996,54.162499999999994,7.697499999999998,36.31,64.41,49.18057804988592,51.48882195011406,1.1541219501140638
2,Q2,High load,reward_hhi,100,19.3218,2.816573740622396,18.225,17.3025,21.482499999999998,4.18,14.7,26.04,18.762930663846387,19.880669336153613,0.5588693361536123
2,Q2,High load,nakamoto_coefficient,100,2.57,0.497569851956243,3.0,2.0,3.0,1.0,2.0,3.0,2.4712713465150076,2.668728653484992,0.09872865348499214
2,Q2,High load,owner_concentration_pct,100,29.072000000000003,6.392729140092349,26.565,23.68,34.61,10.93,20.44,42.6,27.803543847332833,30.340456152667173,1.26845615266717
3,Q3,Cross-shard,finality_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
3,Q3,Cross-shard,receipt_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
3,Q3,Cross-shard,logical_throughput,100,0.4882756535947712,0.054408993467183656,0.4444444444444444,0.4375,0.5490196078431373,0.1115196078431373,0.4375,0.56,0.47747972887913714,0.4990715783104053,0.010795924715634045
3,Q3,Cross-shard,mean_finality_latency,100,26.50571428571428,0.2701248403905145,26.607142857142858,26.214285714285715,26.642857142857142,0.42857142857142705,26.178571428571427,27.107142857142858,26.452115656979537,26.559312914449023,0.05359862873474343
3,Q3,Cross-shard,mean_receipt_latency,100,43.94571428571428,0.40251092959523416,44.107142857142854,43.5,44.142857142857146,0.6428571428571459,43.464285714285715,44.82142857142857,43.865847384744114,44.02558118668445,0.07986690097016706
3,Q3,Cross-shard,cross_shard_ratio_pct,100,63.28571428571429,2.2173209193459593,64.28571428571429,60.714285714285715,64.28571428571429,3.5714285714285765,60.714285714285715,67.85714285714286,62.84574971018695,63.72567886124163,0.4399645755273432
3,Q3,Cross-shard,reconfiguration_events,100,0.58,0.5717243101956457,1.0,0.0,1.0,1.0,0.0,2.0,0.4665574932075748,0.6934425067924251,0.11344250679242515
3,Q3,Cross-shard,shard_load_std,100,5.9,3.0401355631656033,5.0,3.0,9.0,6.0,2.0,12.0,5.296771148044609,6.503228851955392,0.603228851955391
3,Q3,Cross-shard,eligible_validators,100,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0
3,Q3,Cross-shard,committee_recoveries,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
